City,Region,Country,Place combined,"""Help Nepal"", Indexed search interest (1-100)",Time (in GMT)
Fort Worth,Texas,United States,"Fort Worth, United States",0,4/26/15 15:42
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 15:42
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:42
Monroe,Ohio,United States,"Monroe, United States",4,4/26/15 15:42
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:42
Newark,New Jersey,United States,"Newark, United States",1,4/26/15 15:42
Oakland,California,United States,"Oakland, United States",1,4/26/15 15:42
San Diego,California,United States,"San Diego, United States",0,4/26/15 15:42
Short Pump,Virginia,United States,"Short Pump, United States",13,4/26/15 15:42
Toronto,Ontario,Canada,"Toronto, Canada",0,4/26/15 15:42
Delft,South Holland,Netherlands,"Delft, Netherlands",1,4/26/15 15:43
Getafe,Community of Madrid,Spain,"Getafe, Spain",2,4/26/15 15:43
Asheville,North Carolina,United States,"Asheville, United States",1,4/26/15 15:43
Calgary,Alberta,Canada,"Calgary, Canada",0,4/26/15 15:43
Ho Chi Minh City,Ho Chi Minh City,Vietnam,"Ho Chi Minh City, Vietnam",0,4/26/15 15:43
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 15:43
New York,New York,United States,"New York, United States",0,4/26/15 15:43
Panama,Panama,Panama,"Panama, Panama",0,4/26/15 15:43
Tempe,Arizona,United States,"Tempe, United States",1,4/26/15 15:43
Villemur-sur-Tarn,Midi-Pyrenees,France,"Villemur-sur-Tarn, France",50,4/26/15 15:43
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:46
Birmingham,Alabama,United States,"Birmingham, United States",1,4/26/15 15:46
Heythuysen,Limburg,Netherlands,"Heythuysen, Netherlands",33,4/26/15 15:46
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:46
Santa Clara,California,United States,"Santa Clara, United States",4,4/26/15 15:46
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 15:49
Bethlehem,Pennsylvania,United States,"Bethlehem, United States",3,4/26/15 15:49
Eugene,Oregon,United States,"Eugene, United States",1,4/26/15 15:49
Fort Worth,Texas,United States,"Fort Worth, United States",0,4/26/15 15:49
Jefferson Hills,Pennsylvania,United States,"Jefferson Hills, United States",25,4/26/15 15:49
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:49
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:49
New York,New York,United States,"New York, United States",0,4/26/15 15:49
Turlock,California,United States,"Turlock, United States",6,4/26/15 15:49
Vancouver,British Columbia,Canada,"Vancouver, Canada",0,4/26/15 15:49
Las Palmas de Gran Canaria,Canary Islands,Spain,"Las Palmas de Gran Canaria, Spain",1,4/26/15 15:50
Baltimore,Maryland,United States,"Baltimore, United States",0,4/26/15 15:50
Bar Harbor,Maine,United States,"Bar Harbor, United States",33,4/26/15 15:50
Felton,California,United States,"Felton, United States",3,4/26/15 15:50
Long Buckby,England,United Kingdom,"Long Buckby, United Kingdom",4,4/26/15 15:50
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:50
New York,New York,United States,"New York, United States",0,4/26/15 15:50
Pushkar,Rajasthan,India,"Pushkar, India",50,4/26/15 15:50
Caracas,Caracas Metropolitan District,Venezuela,"Caracas, Venezuela",0,4/26/15 15:51
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 15:51
Lansdale,Pennsylvania,United States,"Lansdale, United States",8,4/26/15 15:51
Raipura,Bihar,India,"Raipura, India",0,4/26/15 15:51
Warrenpoint,Northern Ireland,United Kingdom,"Warrenpoint, United Kingdom",11,4/26/15 15:51
Andover,Massachusetts,United States,"Andover, United States",5,4/26/15 15:52
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:52
Cambridge,Massachusetts,United States,"Cambridge, United States",0,4/26/15 15:52
Earby,England,United Kingdom,"Earby, United Kingdom",6,4/26/15 15:52
Genesee Township,Michigan,United States,"Genesee Township, United States",50,4/26/15 15:52
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:52
Mecca,Makkah Province,Saudi Arabia,"Mecca, Saudi Arabia",1,4/26/15 15:52
Pullman,Washington,United States,"Pullman, United States",8,4/26/15 15:52
Latina,Lazio,Italy,"Latina, Italy",3,4/26/15 15:53
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:53
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 15:53
Cham,Canton of Zug,Switzerland,"Cham, Switzerland",9,4/26/15 15:53
Dallas,Texas,United States,"Dallas, United States",0,4/26/15 15:53
Gilbert,Arizona,United States,"Gilbert, United States",2,4/26/15 15:53
Honolulu,Hawaii,United States,"Honolulu, United States",3,4/26/15 15:53
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 15:53
Pokhara,Western Region,Nepal,"Pokhara, Nepal",3,4/26/15 15:53
Pune,Maharashtra,India,"Pune, India",0,4/26/15 15:53
Vancouver,British Columbia,Canada,"Vancouver, Canada",0,4/26/15 15:53
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 15:54
Barcelona,Catalonia,Spain,"Barcelona, Spain",0,4/26/15 15:54
Cambridge,Massachusetts,United States,"Cambridge, United States",0,4/26/15 15:54
Denver,Colorado,United States,"Denver, United States",0,4/26/15 15:54
Houston,Texas,United States,"Houston, United States",0,4/26/15 15:54
Johnson City,Tennessee,United States,"Johnson City, United States",2,4/26/15 15:54
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 15:54
Legnica,Lower Silesian Voivodeship,Poland,"Legnica, Poland",3,4/26/15 15:54
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:54
Los Angeles,California,United States,"Los Angeles, United States",0,4/26/15 15:54
Saskatoon,Saskatchewan,Canada,"Saskatoon, Canada",1,4/26/15 15:54
Tel Aviv,Tel Aviv District,Israel,"Tel Aviv, Israel",0,4/26/15 15:54
Toronto,Ontario,Canada,"Toronto, Canada",0,4/26/15 15:54
Vadodara,Gujarat,India,"Vadodara, India",2,4/26/15 15:54
Bagshot,England,United Kingdom,"Bagshot, United Kingdom",25,4/26/15 15:56
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:56
Copenhagen,Capital Region of Denmark,Denmark,"Copenhagen, Denmark",0,4/26/15 15:56
Delaware City,Delaware,United States,"Delaware City, United States",33,4/26/15 15:56
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/26/15 15:56
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 15:56
Felton,California,United States,"Felton, United States",2,4/26/15 15:56
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/26/15 15:56
Liverpool,England,United Kingdom,"Liverpool, United Kingdom",0,4/26/15 15:56
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:56
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:56
Padua,Veneto,Italy,"Padua, Italy",0,4/26/15 15:56
San Francisco,California,United States,"San Francisco, United States",0,4/26/15 15:56
Ypsilanti Township,Michigan,United States,"Ypsilanti Township, United States",9,4/26/15 15:56
Banyuls-sur-Mer,Languedoc-Roussillon,France,"Banyuls-sur-Mer, France",100,4/26/15 15:57
Chicago,Illinois,United States,"Chicago, United States",0,4/26/15 15:57
Felton,California,United States,"Felton, United States",2,4/26/15 15:57
Hanoi,Hanoi,Vietnam,"Hanoi, Vietnam",0,4/26/15 15:57
Kampala,Central Region,Uganda,"Kampala, Uganda",0,4/26/15 15:57
Kontich,Flanders,Belgium,"Kontich, Belgium",3,4/26/15 15:57
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:57
Moscow,Idaho,United States,"Moscow, United States",7,4/26/15 15:57
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:57
Altamira,Tamaulipas,Mexico,"Altamira, Mexico",2,4/26/15 15:58
City of San Fernando,Central Luzon,Philippines,"City of San Fernando, Philippines",17,4/26/15 15:58
Fair Plain,Michigan,United States,"Fair Plain, United States",11,4/26/15 15:58
Geneva,Geneva,Switzerland,"Geneva, Switzerland",1,4/26/15 15:58
Grand Haven,Michigan,United States,"Grand Haven, United States",6,4/26/15 15:58
Hitachiomiya,Ibaraki Prefecture,Japan,"Hitachiomiya, Japan",100,4/26/15 15:58
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:58
Richmond,California,United States,"Richmond, United States",4,4/26/15 15:58
Albrighton,England,United Kingdom,"Albrighton, United Kingdom",50,4/26/15 16:00
Bhakrota,Rajasthan,India,"Bhakrota, India",0,4/26/15 16:00
Chicago,Illinois,United States,"Chicago, United States",0,4/26/15 16:00
Chinchwad,Maharashtra,India,"Chinchwad, India",1,4/26/15 16:00
Dusseldorf,North Rhine-Westphalia,Germany,"Dusseldorf, Germany",0,4/26/15 16:00
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 16:00
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/26/15 16:00
Reisterstown,Maryland,United States,"Reisterstown, United States",5,4/26/15 16:00
Swindon,England,United Kingdom,"Swindon, United Kingdom",1,4/26/15 16:00
The Hague,South Holland,Netherlands,"The Hague, Netherlands",0,4/26/15 16:00
Walnut Creek,California,United States,"Walnut Creek, United States",2,4/26/15 16:00
Barcelona,Catalonia,Spain,"Barcelona, Spain",0,4/26/15 16:01
Chapmansboro,Tennessee,United States,"Chapmansboro, United States",1,4/26/15 16:01
Guatemala City,Guatemala,Guatemala,"Guatemala City, Guatemala",0,4/26/15 16:01
Heidelberg,Baden-Wurttemberg,Germany,"Heidelberg, Germany",1,4/26/15 16:01
Milan,Lombardy,Italy,"Milan, Italy",0,4/26/15 16:01
Mountain View,California,United States,"Mountain View, United States",1,4/26/15 16:01
Munich,Bavaria,Germany,"Munich, Germany",0,4/26/15 16:01
New Westminster,British Columbia,Canada,"New Westminster, Canada",4,4/26/15 16:01
Oakton,Virginia,United States,"Oakton, United States",4,4/26/15 16:01
Regina,Saskatchewan,Canada,"Regina, Canada",1,4/26/15 16:01
San Diego,California,United States,"San Diego, United States",0,4/26/15 16:01
Sileby,England,United Kingdom,"Sileby, United Kingdom",2,4/26/15 16:01
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 16:03
Cheltenham,England,United Kingdom,"Cheltenham, United Kingdom",2,4/26/15 16:03
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 16:03
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 16:03
Salmon Arm,British Columbia,Canada,"Salmon Arm, Canada",7,4/26/15 16:03
Santa Clara,California,United States,"Santa Clara, United States",3,4/26/15 16:03
Toshima,Tokyo,Japan,"Toshima, Japan",2,4/26/15 16:03
Toulouse,Midi-Pyrenees,France,"Toulouse, France",0,4/26/15 16:03
Youngstown,Ohio,United States,"Youngstown, United States",13,4/26/15 16:03
Zoetermeer,South Holland,Netherlands,"Zoetermeer, Netherlands",2,4/26/15 16:04
Hardenberg,Overijssel,Netherlands,"Hardenberg, Netherlands",10,4/26/15 16:04
Aldington,England,United Kingdom,"Aldington, United Kingdom",5,4/26/15 16:04
Boca Raton,Florida,United States,"Boca Raton, United States",2,4/26/15 16:04
Chicago,Illinois,United States,"Chicago, United States",0,4/26/15 16:04
Karlsruhe,Baden-Wurttemberg,Germany,"Karlsruhe, Germany",0,4/26/15 16:04
Kolkata,West Bengal,India,"Kolkata, India",1,4/26/15 16:04
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 16:04
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 16:04
Mexico City,Federal District,Mexico,"Mexico City, Mexico",0,4/26/15 16:04
New York,New York,United States,"New York, United States",0,4/26/15 16:04
Norwalk,Connecticut,United States,"Norwalk, United States",3,4/26/15 16:04
Overland Park,Kansas,United States,"Overland Park, United States",1,4/26/15 16:04
Padua,Veneto,Italy,"Padua, Italy",0,4/26/15 16:04
Philadelphia,Pennsylvania,United States,"Philadelphia, United States",0,4/26/15 16:04
Sainte-Agathe-des-Monts,Quebec,Canada,"Sainte-Agathe-des-Monts, Canada",20,4/26/15 16:04
Tiverton,Rhode Island,United States,"Tiverton, United States",17,4/26/15 16:04
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 16:05
Fremont,California,United States,"Fremont, United States",2,4/26/15 16:05
Hamburg,Hamburg,Germany,"Hamburg, Germany",0,4/26/15 16:05
Hyderabad,Andhra Pradesh,India,"Hyderabad, India",0,4/26/15 16:05
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 16:05
Los Angeles,California,United States,"Los Angeles, United States",0,4/26/15 16:05
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/26/15 16:05
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 16:05
New York,New York,United States,"New York, United States",0,4/26/15 16:05
Phoenix,Arizona,United States,"Phoenix, United States",0,4/26/15 16:05
Toronto,Ontario,Canada,"Toronto, Canada",0,4/26/15 16:05
Aurora,Illinois,United States,"Aurora, United States",2,4/26/15 16:06
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 16:06
Barquisimeto,Lara,Venezuela,"Barquisimeto, Venezuela",0,4/26/15 16:06
Chantilly,Virginia,United States,"Chantilly, United States",2,4/26/15 16:06
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 16:06
Fairfax,Virginia,United States,"Fairfax, United States",3,4/26/15 16:06
Heidelberg,Baden-Wurttemberg,Germany,"Heidelberg, Germany",1,4/26/15 16:06
Perth,Western Australia,Australia,"Perth, Australia",0,4/26/15 16:06
San Francisco,California,United States,"San Francisco, United States",0,4/26/15 16:06
Toronto,Ontario,Canada,"Toronto, Canada",0,4/26/15 16:06
Burgdorf,Canton of Bern,Switzerland,"Burgdorf, Switzerland",8,4/26/15 16:07
Calgary,Alberta,Canada,"Calgary, Canada",0,4/26/15 16:07
Lea,England,United Kingdom,"Lea, United Kingdom",33,4/26/15 16:07
Shipston-on-Stour,England,United Kingdom,"Shipston-on-Stour, United Kingdom",2,4/26/15 16:07
Surabaya,East Java,Indonesia,"Surabaya, Indonesia",0,4/26/15 16:07
Tuskegee,Alabama,United States,"Tuskegee, United States",33,4/26/15 16:07
Chagford,England,United Kingdom,"Chagford, United Kingdom",1,4/26/15 16:10
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/26/15 16:10
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/26/15 16:10
Los Angeles,California,United States,"Los Angeles, United States",0,4/26/15 16:10
Newark,California,United States,"Newark, United States",3,4/26/15 16:10
Pune,Maharashtra,India,"Pune, India",0,4/26/15 16:10
Toronto,Ontario,Canada,"Toronto, Canada",0,4/26/15 16:10
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 16:14
Bareilly,Uttar Pradesh,India,"Bareilly, India",7,4/26/15 16:14
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 16:14
Malvern,Pennsylvania,United States,"Malvern, United States",5,4/26/15 16:14
Paris,isle-de-France,France,"Paris, France",0,4/26/15 16:14
San Leandro,California,United States,"San Leandro, United States",4,4/26/15 16:14
Union Hill-Novelty Hill,Washington,United States,"Union Hill-Novelty Hill, United States",33,4/26/15 16:14
Union Park,Florida,United States,"Union Park, United States",4,4/26/15 16:14
Austin,Texas,United States,"Austin, United States",0,4/26/15 16:15
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 16:15
Berlin,Berlin,Germany,"Berlin, Germany",0,4/26/15 16:15
Hambleton,England,United Kingdom,"Hambleton, United Kingdom",0,4/26/15 16:15
Howards Grove,Wisconsin,United States,"Howards Grove, United States",4,4/26/15 16:15
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 16:15
New York,New York,United States,"New York, United States",0,4/26/15 16:15
Pamplona,Navarre,Spain,"Pamplona, Spain",1,4/26/15 16:15
Peterborough,England,United Kingdom,"Peterborough, United Kingdom",1,4/26/15 16:15
Portland,Oregon,United States,"Portland, United States",0,4/26/15 16:15
Quebec City,Quebec,Canada,"Quebec City, Canada",0,4/26/15 16:15
Warrington,England,United Kingdom,"Warrington, United Kingdom",1,4/26/15 16:15
Amesbury,England,United Kingdom,"Amesbury, United Kingdom",17,4/26/15 16:16
Denver,Colorado,United States,"Denver, United States",0,4/26/15 16:16
Idylwood,Virginia,United States,"Idylwood, United States",33,4/26/15 16:16
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 16:16
Montreal,Quebec,Canada,"Montreal, Canada",0,4/26/15 16:16
Nuremberg,Bavaria,Germany,"Nuremberg, Germany",0,4/26/15 16:16
Santa Clarita,California,United States,"Santa Clarita, United States",2,4/26/15 16:16
Thimphu,Thimphu,Bhutan,"Thimphu, Bhutan",3,4/26/15 16:16
Valencia,Valencian Community,Spain,"Valencia, Spain",0,4/26/15 16:16
Duluth,Minnesota,United States,"Duluth, United States",2,4/26/15 16:17
Houston,Texas,United States,"Houston, United States",0,4/26/15 16:17
Hyderabad,Andhra Pradesh,India,"Hyderabad, India",0,4/26/15 16:17
Lund,Ski´ne County,Sweden,"Lund, Sweden",1,4/26/15 16:17
Luton,England,United Kingdom,"Luton, United Kingdom",1,4/26/15 16:17
New York,New York,United States,"New York, United States",0,4/26/15 16:17
Rome,Lazio,Italy,"Rome, Italy",0,4/26/15 16:17
Swindon,England,United Kingdom,"Swindon, United Kingdom",1,4/26/15 16:17
Chennai,Tamil Nadu,India,"Chennai, India",0,4/26/15 16:18
Halifax,Nova Scotia,Canada,"Halifax, Canada",1,4/26/15 16:18
Khobar,Eastern Province,Saudi Arabia,"Khobar, Saudi Arabia",0,4/26/15 16:18
Long Beach,California,United States,"Long Beach, United States",1,4/26/15 16:18
Peachtree City,Georgia,United States,"Peachtree City, United States",2,4/26/15 16:18
Santiago,Santiago Metropolitan Region,Chile,"Santiago, Chile",0,4/26/15 16:18
Saratoga Springs,Utah,United States,"Saratoga Springs, United States",5,4/26/15 16:18
Toronto,Ontario,Canada,"Toronto, Canada",0,4/26/15 16:18
Boston,Massachusetts,United States,"Boston, United States",0,4/26/15 16:19
Charlottesville,Virginia,United States,"Charlottesville, United States",1,4/26/15 16:19
Edwards,Colorado,United States,"Edwards, United States",50,4/26/15 16:19
Hillerod,Capital Region of Denmark,Denmark,"Hillerod, Denmark",4,4/26/15 16:19
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 16:19
Kenner,Louisiana,United States,"Kenner, United States",5,4/26/15 16:19
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 16:19
Nottingham,England,United Kingdom,"Nottingham, United Kingdom",0,4/26/15 16:19
San Francisco,California,United States,"San Francisco, United States",0,4/26/15 16:19
Catania,Sicily,Italy,"Catania, Italy",0,4/26/15 16:20
Aldington,England,United Kingdom,"Aldington, United Kingdom",5,4/26/15 16:20
Aliso Viejo,California,United States,"Aliso Viejo, United States",3,4/26/15 16:20
Berlin,Berlin,Germany,"Berlin, Germany",0,4/26/15 16:20
Chicago,Illinois,United States,"Chicago, United States",0,4/26/15 16:20
Edmonton,Alberta,Canada,"Edmonton, Canada",0,4/26/15 16:20
Knoxville,Tennessee,United States,"Knoxville, United States",1,4/26/15 16:20
